Country,Year,Population,Pop %,Deaths from All Causes,Deaths from External Causes,ASDR from All Causes,ASDR from External Causes,Raw Ratio,% Deaths Caused by External Factors
Argentina,1979,27791000,0.025585689,234926,16410,892.6,59.5,0.069851783,0.066659198
Australia,1979,14422000,0.013277565,106568,8472,692,57.9,0.079498536,0.08367052
Brazil,1979,118545100,0.10913814,710702,65125,878.2,63.8,0.09163475,0.072648599
Canada,1979,23670600,0.021792257,168183,16557,654.9,67.1,0.098446335,0.102458391
France,1979,53479400,0.049235626,541805,50630,664.8,77.1,0.093446904,0.115974729
Guatemala,1979,6933492,0.006383296,71138,4223,1013.7,76.2,0.059363491,0.075170169
Hungary,1979,10699300,0.009850274,136829,12228,974.7,98.1,0.08936702,0.100646353
Israel,1979,3786400,0.003485936,25700,1633,740.1,46.7,0.063540856,0.063099581
Italy,1979,56913800,0.052397495,538352,29238,697,44.7,0.054310191,0.064131994
Japan,1979,116133100,0.10691754,689664,53003,598.9,44.9,0.076853366,0.07497078
Mexico,1979,67688533,0.062317216,425976,64210,747.7,116.3,0.150736192,0.155543667
Netherlands,1979,14038300,0.012924313,112565,6428,630.3,40.9,0.057104784,0.064889735
Singapore,1979,2363200,0.002175672,12467,876,956.9,42.7,0.070265501,0.044623263
United Kingdom,1979,55881100,0.051446743,675577,25657,785.2,39.3,0.037977906,0.050050942
United States,1979,224567000,0.206746839,1913841,158945,684.8,66.8,0.083050264,0.097546729
Venezuela,1979,14551000,0.013396328,73685,10743,850.3,89.9,0.145796295,0.10572739
WORLD - reporting countries,1979,1086193150,1,7165025,594265,23408.8,1899.2,0.082939697,0.07572006
Argentina,1980,27947500,0.020714734,241125,16418,834.8,58.5,0.068089165,0.070076665
Australia,1980,14615900,0.01083333,108695,8252,686.9,55.5,0.075918856,0.080797787
Brazil,1980,121286200,0.089897536,749644,70104,922.9,67.1,0.093516389,0.072705602
Canada,1980,23936400,0.0177417,171473,15740,648.1,62.6,0.091792877,0.096590032
Egypt,1980,43369552,0.032145585,421227,8789,1078,21.8,0.020865234,0.020222635
France,1980,53713900,0.039812833,547107,50504,659.3,76.2,0.09231101,0.115577127
Guatemala,1980,7118628,0.005276339,71360,7328,987.7,125.2,0.102690583,0.126759137
Hungary,1980,10711100,0.007939085,145355,12284,1015.6,98,0.084510337,0.096494683
Israel,1980,3879000,0.002875121,26278,1363,733.9,37.2,0.051868483,0.050688105
Italy,1980,57069700,0.042300158,554510,31729,700.4,48.2,0.057219888,0.068817818
Jamaica,1980,2142438,0.001587979,10619,149,501,6.9,0.014031453,0.013772455
Japan,1980,117060400,0.086765366,722801,52827,608.3,43.9,0.073086507,0.072168338
Latvia,1980,2511700,0.001861676,32100,3768,956.9,140.2,0.117383178,0.146514787
Mexico,1980,69330974,0.051388235,432547,67918,748.1,120.5,0.157018775,0.161074723
Netherlands,1980,14149800,0.010487856,114279,6095,624.4,38,0.053334383,0.060858424
Russia,1980,138482900,0.102643759,1525755,215300,1028,148.6,0.141110467,0.144552529
Singapore,1980,2414000,0.001789261,12502,897,873.5,40.8,0.07174852,0.046708643
Spain,1980,37541800,0.027826045,289344,15464,634.2,39.3,0.053445034,0.061967833
United Kingdom,1980,55944900,0.041466454,661519,24480,756.5,37.2,0.03700574,0.049173827
United States,1980,227202000,0.168402505,1989841,160551,693.8,66.4,0.080685341,0.095704814
Venezuela,1980,15017000,0.011130626,76834,11610,886.2,94.1,0.15110498,0.106183706
WORLD - reporting countries,1980,1349160451,1,10889829,944727,34743,2874.5,0.086753153,0.085158488
Argentina,1981,28237200,0.019526473,241904,16765,841,59.5,0.069304352,0.070749108
Armenia,1981,3100800,0.002144253,16659,1309,670.3,44.8,0.078576145,0.066835745
Australia,1981,14926800,0.01032212,109003,7887,662.2,51.6,0.072355807,0.077922078
Azerbaijan,1981,6252300,0.004323565,42898,3133,859.9,53.6,0.073033708,0.062332829
Belarus,1981,9699500,0.006707359,93136,9283,813.5,93.2,0.099671448,0.114566687
Brazil,1981,124069500,0.085796033,749355,71734,914.3,67,0.095727659,0.073280105
Canada,1981,24343200,0.01683371,171029,15532,626.8,60.6,0.090815008,0.096681557
El Salvador,1981,4652058,0.003216972,37483,11734,911.7,288,0.313048582,0.315893386
Estonia,1981,1481000,0.001024135,18349,2070,962.2,129.3,0.112812687,0.134379547
France,1981,53965900,0.037318279,554823,50350,655.4,74.9,0.090749663,0.114281355
Guatemala,1981,7310397,0.005055256,71748,13938,1086.6,235.8,0.194263255,0.217007178
Hungary,1981,10711800,0.00740738,144757,12582,1004.4,99.7,0.086918077,0.099263242
Israel,1981,3949700,0.00273128,25941,1249,700.5,33.1,0.04814772,0.047251963
Italy,1981,57195600,0.039551667,545291,29036,671.7,43,0.053248632,0.064016674
Jamaica,1981,2175634,0.001504486,11849,142,543.2,6.7,0.011984134,0.012334315
Japan,1981,117884000,0.081518662,720262,52306,584.8,42.8,0.072620796,0.073187415
Kazakhstan,1981,15077600,0.0104264,120974,15854,986.7,113.8,0.131052954,0.115333941
Kyrgyzstan,1981,3685700,0.00254872,29591,3061,944.8,93.5,0.103443615,0.098962743
Latvia,1981,2519500,0.001742274,32090,3683,955.5,136.9,0.114770957,0.143275772
Lithuania,1981,3432900,0.002373905,35579,4600,853.4,129.7,0.12928975,0.151980314
Mexico,1981,71250300,0.049270716,421762,68918,919.5,124.7,0.163404954,0.135617183
Netherlands,1981,14247200,0.009852165,115515,5904,615.7,36.1,0.051110245,0.058632451
Moldova,1981,4055557,0.002804482,41476,4476,1128.9,111.7,0.107917832,0.098945877
Russia,1981,139221500,0.096273882,1524286,215598,1008.8,147.6,0.14144196,0.14631245
Singapore,1981,2443300,0.001689581,12855,935,862.6,42.6,0.072734345,0.049385578
Spain,1981,37750800,0.026105279,293386,15287,626.5,38.3,0.052105417,0.06113328
Ukraine,1981,50169800,0.034693215,568789,53402,926.8,100.3,0.093887188,0.108221839
United Kingdom,1981,56316000,0.03894341,657974,23723,728.2,35.6,0.036054616,0.048887668
United States,1981,229348000,0.158597791,1977981,155576,675.4,63.6,0.078653941,0.09416642
Venezuela,1981,15480600,0.010705081,80346,11567,872.1,89.4,0.143964852,0.10251118
WORLD - reporting countries,1981,1446098323,1,11598895,1062201,45562,4277.3,0.091577775,0.089370218
Argentina,1982,29158000,0.020759018,232638,15531,787.1,52.8,0.066760374,0.067081692
Armenia,1982,3132700,0.002230324,17469,1258,694.9,42,0.072013281,0.060440351
Australia,1982,15178400,0.010806251,114071,8202,674.3,52.5,0.071902587,0.07785852
Azerbaijan,1982,6350600,0.004521305,42376,2940,842,50,0.069378894,0.059382423
Belarus,1982,9768300,0.006954534,93840,9334,808,92.4,0.099467178,0.114356436
Brazil,1982,126894500,0.09034245,740966,73398,893.6,67.2,0.099057177,0.075201432
Canada,1982,24625000,0.017531751,174413,14165,638,54.7,0.081215276,0.085736677
El Salvador,1982,5001000,0.003560458,33309,8350,961.3,203.1,0.250682999,0.211276397
Estonia,1982,1489400,0.001060377,17893,1931,932.7,120,0.107919298,0.128658733
France,1982,54480400,0.038787283,543104,50534,635.3,74.4,0.093046636,0.117110027
Hungary,1982,10705100,0.007621488,144318,12281,995.5,96.8,0.0850968,0.097237569
Israel,1982,4026700,0.002866806,27601,1218,729.2,32,0.044128836,0.043883708
Italy,1982,56639500,0.040324452,534935,28826,675.9,43.3,0.053886921,0.064062731
Japan,1982,118693300,0.084503612,711883,53048,554.5,42.5,0.074517863,0.076645627
Kazakhstan,1982,15253500,0.010859719,120165,15419,966.1,109.5,0.128315233,0.113342304
Kyrgyzstan,1982,3759300,0.002676431,29194,3111,925.4,93.6,0.106562992,0.101145451
Latvia,1982,2531100,0.001802015,31234,3607,921.4,132.3,0.115483127,0.143585848
Lithuania,1982,3457100,0.00246128,35040,4457,830.4,124.6,0.127197489,0.15004817
Mexico,1982,73120500,0.052058089,409777,67481,891.2,120,0.164677373,0.13464991
Netherlands,1982,14312700,0.010189917,117264,5936,612,36,0.050620821,0.058823529
Moldova,1982,4097948,0.002917531,41046,4508,1085.8,111.4,0.109827998,0.102597163
Russia,1982,140066800,0.09972046,1504200,206358,974.4,139.3,0.137187874,0.14295977
Singapore,1982,2471800,0.001759796,12895,966,841.5,42.3,0.074912757,0.05026738
Spain,1982,37961300,0.027026521,286655,14681,595.6,36.1,0.051214875,0.060611148
Ukraine,1982,50357500,0.035851987,568231,52584,910.7,97.7,0.09253983,0.107280114
United Kingdom,1982,56315840,0.040094023,662802,23502,725.7,35.1,0.035458553,0.048367094
United States,1982,231534000,0.164840469,1974797,147894,658.8,59.6,0.074890736,0.090467517
Venezuela,1982,15944300,0.011351533,78329,11773,847.3,87.3,0.150301932,0.103033164
WORLD - reporting countries,1982,1404594402,1,11404335,1019858,43509.8,3889.4,0.089427222,0.090418516
Argentina,1983,29630000,0.020138274,250844,16980,837.3,56.5,0.067691474,0.067478801
Australia,1983,15378600,0.010452192,110148,7447,635,46.9,0.067609035,0.073858268
Brazil,1983,129756100,0.088189804,770736,77953,884.5,67.7,0.101140987,0.076540418
Canada,1983,24889800,0.016916558,174484,14088,601.5,53.1,0.080740928,0.088279302
El Salvador,1983,5229000,0.003553933,32715,7376,928.3,170.2,0.225462326,0.183345901
France,1983,54728300,0.037196541,559655,51011,641.1,73.7,0.091147225,0.114958665
Hungary,1983,10689500,0.007265207,148643,12946,1023.5,101.9,0.087094582,0.099560332
Israel,1983,4037600,0.002744188,27641,1653,686.3,42.2,0.059802467,0.061489145
Italy,1983,56835800,0.03862892,564330,28769,696.9,42.5,0.050979037,0.060984359
Jamaica,1983,2243000,0.001524473,13646,546,686.3,26.3,0.040011725,0.038321434
Japan,1983,118786000,0.080733885,740038,58059,557.1,45.8,0.078454079,0.082211452
Latvia,1983,2546100,0.001730478,32329,3748,940.3,136.9,0.115933063,0.145591832
Mexico,1983,75103000,0.051044374,410860,59951,916.2,108,0.145915884,0.117878193
Netherlands,1983,14367100,0.009764718,117761,6072,604.4,36.4,0.051562062,0.060225017
Russia,1983,141056200,0.09587001,1563995,138791,993.9,93.5,0.088741332,0.09407385
Singapore,1983,2502000,0.001700505,13320,1084,857.8,47.8,0.081381381,0.055723945
Spain,1983,38172100,0.025943983,302569,16225,610.6,39.3,0.053624132,0.064362922
United Kingdom,1983,56352320,0.038300319,659101,22682,713,33.6,0.034413542,0.047124825
United States,1983,233981000,0.159027117,2019201,144091,663.2,57.2,0.071360404,0.086248492
Venezuela,1983,16394200,0.011142453,76725,11697,810.7,84.8,0.152453568,0.104600962
WORLD - reporting countries,1983,1471327686,1,10525530,841196,33086.9,2782,0.079919586,0.073111558
Argentina,1984,30093700,0.02250012,254452,16065,851.3,54.4,0.06313568,0.063902267
Australia,1984,15555900,0.011630661,113312,7547,635.7,46.6,0.066603714,0.073305018
Brazil,1984,132647800,0.09917662,809190,82292,922.8,69.6,0.101696758,0.075422627
Canada,1984,25127900,0.018787347,175727,14001,589.2,52,0.079674723,0.088255261
Colombia,1984,28109800,0.02101682,137189,24455,862.8,99.3,0.178257732,0.115090403
El Salvador,1984,5388600,0.004028888,28870,5956,830.7,137.1,0.206304122,0.165041531
France,1984,54946700,0.041081933,542490,50315,613.5,71.9,0.092748253,0.117196414
Guatemala,1984,7740000,0.005786956,66260,4028,1092.5,67.3,0.060790824,0.061601831
Hungary,1984,10668100,0.007976205,146709,12876,1004.8,101,0.087765577,0.100517516
Israel,1984,4159100,0.003109629,27805,1702,674.3,42.4,0.061212012,0.062880024
Italy,1984,57004900,0.042620785,534676,26996,647.6,39.3,0.05049039,0.060685608
Japan,1984,119523000,0.089363617,740247,57128,537.8,44.1,0.07717424,0.082000744
Latvia,1984,2562000,0.001915527,33406,3584,955.7,129.4,0.107286116,0.135398137
Mexico,1984,75721210,0.056614385,407278,60449,657.8,96.5,0.148421962,0.146701125
Netherlands,1984,14424200,0.010784524,119812,6021,601.6,35.5,0.050253731,0.059009309
Russia,1984,142060800,0.106214426,1650866,144894,1035.3,96.9,0.08776848,0.093596059
Singapore,1984,2529100,0.001890929,13161,1095,821.5,45.2,0.083200365,0.055021302
Spain,1984,38341800,0.028666967,299409,15803,589.5,38.1,0.052780645,0.064631043
United Kingdom,1984,56459780,0.042213215,644918,22402,689.8,33,0.034736199,0.047839954
United States,1984,236494000,0.176819183,2039369,145012,652,56.7,0.071106308,0.08696319
WORLD - reporting countries,1984,1337490631,1,10666512,856669,33854.1,2800.9,0.080313883,0.083935826
Argentina,1985,30564000,0.019796715,239181,14633,793.2,48.6,0.061179609,0.061270802
Armenia,1985,3231600,0.002093151,19581,1341,737.9,42.7,0.068484756,0.05786692
Australia,1985,15758400,0.010206928,117806,7902,642,48,0.06707638,0.074766355
Azerbaijan,1985,6658700,0.00431293,45179,2678,851.4,43.7,0.059275327,0.051327226
Bahrain,1985,417200,0.000270226,1097,62,586.3,14.9,0.056517776,0.025413611
Belarus,1985,9957700,0.006449737,105690,8686,864.9,84,0.082183745,0.097121054
Brazil,1985,135563900,0.087806568,787341,85759,894,71.2,0.108922309,0.079642058
Canada,1985,25358600,0.016425108,181323,13417,590.5,49,0.073995025,0.082980525
Colombia,1985,28713800,0.018598316,153947,29218,951.3,115.3,0.189792591,0.121202565
Croatia,1985,4701700,0.003045355,52067,3841,888,72.8,0.073770334,0.081981982
Estonia,1985,1519000,0.000983877,19343,1756,967,106.5,0.090782195,0.110134436
France,1985,55170400,0.035734613,552496,49746,611.4,69.7,0.090038661,0.114000654
Hungary,1985,10648700,0.006897307,147614,13275,1004.7,103.8,0.089930494,0.103314422
Israel,1985,4232900,0.002741706,28029,1943,661.9,47.2,0.06932106,0.071309866
Italy,1985,57141500,0.037011321,547436,28736,644.6,40.8,0.052491981,0.063295067
Jamaica,1985,2311000,0.001496866,13860,402,696.9,19,0.029004329,0.027263596
Japan,1985,120265700,0.077897718,752283,56394,526.1,42.7,0.07496381,0.081163277
Kazakhstan,1985,15780300,0.010221113,126786,14917,983.8,101.7,0.117654946,0.10337467
Kyrgyzstan,1985,3990300,0.002584571,32332,2741,963.3,76.1,0.084776692,0.078999273
Latvia,1985,2578900,0.001670388,34166,3056,965.3,109.1,0.089445648,0.113021858
Lithuania,1985,3544500,0.002295821,39169,4203,877.3,113.1,0.107304246,0.128918272
Mexico,1985,79375000,0.051412259,410937,63681,848.6,103.2,0.15496536,0.121612067
Netherlands,1985,14491700,0.00938647,122704,5567,602.2,32.3,0.045369344,0.053636666
Moldova,1985,4214253,0.002729629,46075,4636,1171.2,110.7,0.100618557,0.094518443
Russia,1985,143033400,0.092644664,1625266,186433,1004.6,123.5,0.114709223,0.122934501
Singapore,1985,2558000,0.001656851,13347,1082,807,45.1,0.081066906,0.055885998
Spain,1985,38504800,0.024940079,312532,15667,598.3,37.6,0.050129267,0.062844727
Ukraine,1985,50914000,0.032977685,617548,46942,942.7,85.9,0.076013524,0.091121247
United Kingdom,1985,56616690,0.036671395,670656,22574,702.5,32.8,0.033659581,0.046690391
United States,1985,238740000,0.154635121,2086440,145648,653.3,56.3,0.069806944,0.086177866
Venezuela,1985,17316600,0.011216196,79356,10550,807.3,74.7,0.132945209,0.092530658
WORLD - reporting countries,1985,1543892474,1,12384124,1043237,48065.4,3884.7,0.08423987,0.084454782
Argentina,1986,30737100,0.019638332,239599,16475,795.6,54.7,0.068760721,0.068753142
Armenia,1986,3266800,0.002087201,19410,1255,720.9,39.7,0.064657393,0.055070051
Australia,1986,16018400,0.010234364,114337,7792,596.7,46.3,0.068149418,0.077593431
Azerbaijan,1986,6757400,0.004317391,45344,3083,835.7,48.7,0.067991355,0.0582745
Belarus,1986,10014600,0.006398458,97276,7560,785.2,72.8,0.077717011,0.092715232
Brazil,1986,135608500,0.086642031,810460,95843,883.2,78.5,0.118257533,0.088881341
Canada,1986,25309300,0.01617044,184224,13741,592,50.1,0.074588544,0.084628378
Colombia,1986,29324900,0.018736059,146346,30210,881.6,115.3,0.206428601,0.130784936
Croatia,1986,4722000,0.003016947,51740,3641,865.2,68.2,0.070371086,0.078825705
Estonia,1986,1532000,0.000978815,17986,1525,885.9,91.6,0.084788169,0.103397675
France,1986,55394200,0.035392073,546926,49701,618.9,70.2,0.090873354,0.113427048
Guatemala,1986,8320498,0.005316074,66328,5133,912.2,79.7,0.077388132,0.087371191
Hungary,1986,10630600,0.006792028,147089,12983,994.3,101,0.088266288,0.101579
Israel,1986,4298800,0.002746559,29413,1989,673.5,47,0.06762316,0.069784707
Italy,1986,57246400,0.036575468,544489,28161,625.7,39.2,0.051720053,0.062649832
Jamaica,1986,2333427,0.001490857,12063,161,485.3,6.1,0.013346597,0.012569545
Japan,1986,120946000,0.077273969,750620,57825,503.3,42.8,0.077036317,0.085038744
Kazakhstan,1986,15965100,0.01020031,119149,13300,912.4,88.1,0.11162494,0.096558527
Kyrgyzstan,1986,4066600,0.002598204,29083,2460,852.4,65,0.084585497,0.076255279
Latvia,1986,2599900,0.00166111,31328,2718,872.3,96.7,0.086759448,0.110856357
Lithuania,1986,3578900,0.002286606,35788,3536,785.6,93.9,0.098804068,0.119526477
